step,volume,free_surface_area,vx_10_20,pressure_25_30
259,1.5671114922e+00,3.0449984074e+00,5.3611859679e-02,9.1895673828e+03
260,1.5672864914e+00,3.0699985027e+00,5.4501768202e-02,9.6581025391e+03
261,1.5673615932e+00,3.0549983978e+00,5.3623631597e-02,9.2066738281e+03
262,1.5673866272e+00,3.0799982548e+00,5.2710130811e-02,9.5941025391e+03
263,1.5672615767e+00,3.0749981403e+00,5.4355673492e-02,9.3952685547e+03
264,1.5670367479e+00,3.0799982548e+00,5.4992012680e-02,9.4065722656e+03
265,1.5670617819e+00,3.0749981403e+00,5.4602481425e-02,9.4171542969e+03
266,1.5671617985e+00,3.0699982643e+00,5.5225137621e-02,9.4167236328e+03
267,1.5671869516e+00,3.0749983788e+00,5.1325339824e-02,9.4655556641e+03
268,1.5673620701e+00,3.0799982548e+00,5.5969789624e-02,9.4049912109e+03
269,1.5673871040e+00,3.1149985790e+00,5.2214298397e-02,9.5726474609e+03
270,1.5671372414e+00,3.0899984837e+00,5.6473191828e-02,9.3644257812e+03
271,1.5670372248e+00,3.0899982452e+00,4.7999672592e-02,9.5816298828e+03
272,1.5672622919e+00,3.0949981213e+00,6.0222752392e-02,9.2762656250e+03
273,1.5671123266e+00,3.0949985981e+00,4.9037516117e-02,9.6256142578e+03
274,1.5672374964e+00,3.1099984646e+00,5.9220187366e-02,9.3183720703e+03
275,1.5675625801e+00,3.1049983501e+00,5.0311245024e-02,9.5990136719e+03
276,1.5674626827e+00,3.1099984646e+00,5.8485649526e-02,9.2968222656e+03
277,1.5670876503e+00,3.1099982262e+00,5.5572513491e-02,9.4912343750e+03
278,1.5671377182e+00,3.1149981022e+00,5.7277951390e-02,9.4684521484e+03
279,1.5671126842e+00,3.1399984360e+00,5.7459495962e-02,9.4878115234e+03
280,1.5673627853e+00,3.1249983311e+00,5.1908571273e-02,9.5043798828e+03
281,1.5673878193e+00,3.1399984360e+00,5.6370791048e-02,9.3415136719e+03
282,1.5672378540e+00,3.1499981880e+00,5.1341667771e-02,9.6219121094e+03
283,1.5670878887e+00,3.1299984455e+00,5.6120887399e-02,9.2814843750e+03
284,1.5671879053e+00,3.1349983215e+00,5.5158969015e-02,9.5474687500e+03
285,1.5672630072e+00,3.1399984360e+00,5.4470270872e-02,9.5380458984e+03
286,1.5672880411e+00,3.1449983120e+00,5.5343452841e-02,9.4359521484e+03
287,1.5674130917e+00,3.1499981880e+00,5.6323885918e-02,9.4460585938e+03
288,1.5672382116e+00,3.1949982643e+00,5.1543753594e-02,9.6415957031e+03
289,1.5669631958e+00,3.1549980640e+00,5.8291953057e-02,9.4346455078e+03
290,1.5671883821e+00,3.1599984169e+00,5.0387542695e-02,9.4216796875e+03
291,1.5672389269e+00,3.1649985313e+00,5.6578740478e-02,9.5248994141e+03
292,1.5674891472e+00,3.1799983978e+00,5.3686775267e-02,9.4353408203e+03
293,1.5672894716e+00,3.1849982738e+00,5.6002631783e-02,9.4071650391e+03
294,1.5670647621e+00,3.1949982643e+00,5.0874948502e-02,9.5665429688e+03
